0	ねぇ　あたたかいよ	今日もね心は君だけであふれてる	1
1	ありつづけてく“決心”をくれた人	開くことがむずかしくて　二人でなければこの出来事を…なんて	0
2	愛しさ切なさも限りなくつづいてゆくから	次にくる運試したい	0
3	忘れないで　1人じゃないよ	吸い込む空気に　もう君が居なくて	0
4	(同じ毎日は)　別に問題ない	時々手離され不安になるだろう…	0
5	あたしが望んだこと自体矛盾を優に越えて	一番愛しいあなたの声迄	1
6	キレイな星の下で　最高の	きっと　二人の距離　溶かしてくれる	0
7	生きてくほど	守りたいものさえ定められず	1
8	“ずっと一緒”を誓い合ったふたり	別れ話を本気にしないで　余計な意地はったの	0
9	最初の恋はとても臆病　そして優しいね	ただそばにいて	0
10	君がつらく負けそうな夜には私の胸の中で	守ってあげたい癒してあげたい愛のすべてをかけて…	1
11	「おかえり」って　言って…	忘れていた自分に気付いて　君思い出す	0
12	消えないうちに愛を　預けておくから	切ないときには　開けてみればいい	1
13	お別れしましょう外苑通り	歩んできた世界の分だけ増えた傷が作り出す迷路	0
14	苦しさに溺れそうでも	心が負けそうになっても	1
15	なんて　人　恐れないで	そのカラさえも　やぶれるはず	1
16	私たちてにした　12の音階が	夏のはじまりへ　駆けていく	0
17	どこまで続くの	愛している	0
18	自然に話しかけてく　あなたが怖い	帰りに渡されたチョコ	0
19	何でも最初から	今更くだらない　ゲームなんてやめて	0
20	「生きる」	過去は忘れるもの　癒えぬ傷たくさんあるけど	0
21	明日を導くヒカリ達　壊れるくらい胸にあふれて	同じ時間を　過ごしてた	0
22	無駄にぶつかり傷付けたりした	背中あわせの狭いベッド	0
23	今君を選んだ人生	始まりを迎えるそのとき	1
24	君の笑顔が好きさ　君の全てが好きさ	雪が降る降る　雪が降る　ここさい果ての街に雪が降る	0
25	一緒に笑って　一緒に語り合って	そしてまたいつものように	1
26	ふんわりとした　大きなあなたの	人は傷つくコトもあるけれど	0
27	行き場をなくしても　居場所があるきっと	南の街がなぜかなつかしい　大人になったせいだね	1
28	ちょっと　悔しい時とか	ねぇ　そうでしょ？	0
29	眩しくて 強く 果かなく 咲き輝いてた	出会いや別れ	0
30	チャンスをくれる	そう何回でも	1
31	軽い言葉さえ　見つからないなぜ？　こんなにも愛が答え探している	やさしくしないで	0
32	いつも見慣れてる顔が疲れてる	メイクアップしてみても心からは笑えない	1
33	自分の足で立てるように	君の嫌いな東京も　秋はすてきな街	0
34	だけどいつでも　君のその笑顔 変わらない宝物	心揺れるよ　涙は優しい嘘だから	1
35	キスしちゃってみたい	とあなたは笑顔で	0
36	諦められない　何かがあるから	この瞳で　この胸で　この手で	1
37	あなたが安心できる場所を　見つけたなら	私も安心して　ゆっくり過ごせるから	1
38	あなたをまっすぐ見れない	だけど強がった分だけ	0
39	せみの鳴き声が聞こえる　私もここで早く鳴きたいんだ	汗もかいて　ホントの力を試してみたいんだ	1
40	言葉とはね別の気持ちに	この太陽(ひかり)ここにある地球(すべて)を照らすけど	0
41	冷たくしみる　雪野原	生れて来なけりゃ　よかったと	1
42	あぁ　今が終わって欲しくない	夜の空に彩めき咲く 輝く花火を	0
43	自分だけが…」って	遠くに離れても	0
